----------,----------,----------,----------
## BN.2,----------,## Change language when NOT logged in,----------
BN.2.1.,publisher,Make sure you are logged out of the application,
BN.2.2.,publisher,Go to the `Apply` -> `Application Form`,
BN.2.2.1.,publisher,,You will be redirected to login page
BN.2.3.,publisher,"Click the dropdown which shows `English`, `Français`. the dropdown box is located on the right side above the `Application Progress` menu",
BN.2.4.,publisher,Select `Français` if you are in English language.,
BN.2.4.1.,publisher,,The text on the application form changes to French language
BN.2.5.,publisher,Enter the credentials and login,
BN.2.5.1.,publisher,,You are logged in and redirected to Application Form
BN.2.5.2.,publisher,,The text on the application form is in French language
----------,----------,----------,----------
