Step Number,User/User Role,Action,Expected Test Results,Testers feedback on script
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,# New Application Form: ManEd Form,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,new_application_form/maned_form,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
----------,----------,----------,----------
## BN.1,----------,## Form Overview,----------
BN.1.1.,admin,Go to the admin Applications search at /admin/applications,
BN.1.2.,admin,"Select an application that is not in the ""Accepted"" or ""Rejected"" state, and click ""Review application""",
BN.1.2.1.,admin,,The managing editor view application form is displayed
BN.1.2.2.,admin,,"""Unlock and Close"" is available"
BN.1.2.3.,admin,,The Quick Reject feature is available
BN.1.2.4.,admin,,The ability to assign to an editor group and associate editor is available
BN.1.2.5.,admin,,"A ""SAVE"" button is available"
BN.1.2.6.,admin,,"Status, Re-assign publisher account, Continuation Information and Subject Classification sections are available"
BN.1.2.7.,admin,,"The Journal Labels section is available, offering one option for ""Subscribe to Open"""
BN.1.2.8.,admin,,The main application form questions are available
BN.1.2.9.,admin,,The Notes section is available
BN.1.3.,admin,Assign an editor group,
BN.1.3.1.,admin,,"The ""Group"" pull-down asks you to type three characters."
BN.1.4.,admin,Choose any group,
BN.1.4.1.,admin,,The associate editors and editor are shown in the Individual dropdown
BN.1.5.,admin,"Select an editor from the ""Individual"" pull-down",
BN.1.5.1.,admin,,The editor is selected
BN.1.6.,admin,Open the Subject Classifier and assign two subject classifications,
BN.1.7.,admin,Click Add subjects,
BN.1.7.1.,admin,,The two subjects you selected show as 'Selected'
BN.1.8.,admin,Open the subject classifier again and start typing a subject in the subject search box (eg Biology),
BN.1.8.1.,admin,,All terms that include your subject are shown and can be selected
BN.1.9.,admin,Assign one subject that way and then assign an owner to the application,
BN.1.10.,admin,Make a superficial modification to the application metadata,
BN.1.11.,admin,"Click ""Add new note"" and enter some text into the new note textarea",
BN.1.12.,admin,"Click ""SAVE""",
BN.1.12.1.,admin,,A message tells you that you cannot save the application because it contains some invalid fields
BN.1.12.2.,admin,,The form scrolls you down to a question which has a missing answer.
BN.1.13.,admin,Complete the question with the missing answer and 'Save',
BN.1.13.1.,admin,,A message at the top of the form tells you that you can only choose one or two subject classifications
BN.1.14.,admin,Remove one subject classification,
BN.1.15.,admin,"Click ""Unlock & Close""",
BN.1.15.1.,admin,,Confirmation dialog is displayed warning you about unsaved changes
BN.1.16.,admin,"Click ""Stay on Page"" and then 'Save'",
BN.1.16.1.,admin,,The form saves
BN.1.16.2.,admin,,"The changes you applied, both to the form, and in the functionality box, have been saved"
BN.1.17.,admin,"Click ""Unlock and Close""",
BN.1.17.1.,admin,,"The page closes, and you are able to return to the search interface"
----------,----------,----------,----------

----------,----------,----------,----------
## BN.2,----------,## Note features for admin,----------
BN.2.1.,admin,"Prepare two admin accounts (admin1 and admin2), they both can access to the same Application (e.g. /admin/application/1234)",
BN.2.2.,admin,Login as `admin1`,
BN.2.3.,admin,Go to Application page at `/admin/application/1234`,
BN.2.4.,admin,"Click ""ADD"" button in ""Notes"" area",
BN.2.4.1.,admin,,New note UI is displayed for you to fill in
BN.2.5.,admin,Fill in the note,
BN.2.6.,admin,"Click ""Save"" button",
BN.2.6.1.,admin,,The note is saved and displayed in the list of notes
BN.2.6.2.,admin,,you username and user id will be showed on that note
