Step Number,User/User Role,Action,Expected Test Results,Testers feedback on script
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,# Publication fees information ToC: APC Information on ToC,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,publication_fees_information_toc/apc_information_on_toc,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
----------,----------,----------,----------
## BP.1,----------,## Check ToC of journal with no APC information,----------
BP.1.1.,admin,Go to the API page at /api/v2/docs,
BP.1.2.,admin,"Scroll down this page to the section headed ""Search"" and the subsection titled: ""GET /api/v1/search/journals/{search_query}"" at /api/v2/docs#!/Search/get_api_v2_search_journals_search_query",
BP.1.3.,admin,"In the text box ""search_query"" enter the following query: _missing_:(bibjson.apc_url AND bibjson.submission_charges_url)",
BP.1.4.,admin,"Scroll to the bottom of that subsection and click the button ""Try it out!""",
BP.1.5.,admin,"A new section will appear beneath the ""Try it out!"" button, scroll down to the header ""Response Body""",
BP.1.6.,admin,"In the ""Response Body"" there should be lines which is of the form """"id"": ""xxxxxxxxxxxxxxxxxxxxxx"" where xxx... is an alphanumeric string. Each of them represents one journal. Take a copy of one of those strings.",
BP.1.7.,admin,Go to the admin journals search interface at /admin/,
BP.1.8.,admin,Enter the ID from 1.6 into the search text box,
BP.1.8.1.,admin,,The journal appears as the single result of your search
BP.1.9.,admin,Click on the title of the journal to be taken to the ToC page,
BP.1.9.1.,admin,,"Under ""PUBLICATION CHARGES"" is should say 'No charges?'"
BP.1.10.,admin,"Shortcut for 1.1 - 1.9, go to /toc/2344-5416",
----------,----------,----------,----------

----------,----------,----------,----------
## BP.2,----------,## Check ToC of journal with APC information (url only),----------
BP.2.1.,admin,Go to the API page at /api/v2/docs,
BP.2.2.,admin,"Scroll down this page to the section headed ""Search"" and the subsection titled: ""GET /api/v1/search/journals/{search_query}"" at /api/v2/docs#!/Search/get_api_v2_search_journals_search_query",
BP.2.3.,admin,"In the text box ""search_query"" enter the following query: _missing_:bibjson.apc AND _exists_:bibjson.apc_url",
BP.2.4.,admin,"Scroll to the bottom of that subsection and click the button ""Try it out!""",
BP.2.5.,admin,"A new section will appear beneath the ""Try it out!"" button, scroll down to the header ""Response Body""",
