----------,----------,----------,----------
## F.1,----------,## Test Admin Journals and Articles Search Interactions,----------
F.1.1.,admin,Go to the DOAJ admin Journals and Articles search at /admin/admin_site_search,
F.1.1.1.,admin,,"All available records are found, and the first page of results is shown"
F.1.2.,admin,Open and Collapse all the facets on the left,
F.1.2.1.,admin,,The facet opens and closes as expected
F.1.2.2.,admin,,Each facet contains a maximum of 10 values relevant to that field
F.1.3.,admin,Open one of the facets of your choice,
F.1.4.,admin,Select one of the values for that facet,
F.1.4.1.,admin,,"All the results for the selected constraints are found, and the first page is shown"
F.1.4.2.,admin,,The filter applied is shown in the facets on the left and above the search results
F.1.5.,admin,"Go through each sort option in the ""sort by"" pull-down",
F.1.6.,admin,"In each case, click the ""sort by"" button to reverse the direction of sort",
F.1.6.1.,admin,,The current search results are ordered correctly according to the selected sort field and the selected sort direction
F.1.7.,admin,Enter a search term in the search box,
F.1.7.1.,admin,,"All the results for the selected constraints are found, and the first page is shown"
F.1.7.2.,admin,,Your search text ramains in the search box
F.1.8.,admin,"Go through each field constraint under the ""search all"" pull-down.  You may change your search text if no results are found, to demonstrate that each field works correctly",
F.1.8.1.,admin,,"If there are search results, the first page is displayed"
F.1.8.2.,admin,,"If there are no search results, suitable ""no results match"" text is displayed"
F.1.9.,admin,"Change the page size, using the page-size pull-down",
F.1.9.1.,admin,,The size of the page of results displays increases appropriately
F.1.10.,admin,"Click the ""Next"" button to go to the next page of results",
F.1.10.1.,admin,,The next page of results is displayed
F.1.10.2.,admin,,"The ""First"" and ""Prev"" buttons are activated"
F.1.11.,admin,"Click ""Next"" again",
F.1.12.,admin,"Click ""Prev""",
F.1.12.1.,admin,,You are navigated one page forward and then one page back in the results
F.1.13.,admin,"Click ""First""",
F.1.13.1.,admin,,You are taken to the first page of the results
F.1.14.,admin,Click the black X button to clear all filters,
F.1.14.1.,admin,,The interface returns to the initial state as per 1.1.1
----------,----------,----------,----------
