----------,----------,----------,----------
## N.1,----------,## Enter an article,----------
N.1.1.,Publisher with existing journal,"Go to the ""Enter Article Metadata"" tab in the ""Publisher Area""",
N.1.2.,Publisher with existing journal,"Do not fill in any data yet. Click ""Add Article"" button at the bottom of the page",
N.1.2.1.,Publisher with existing journal,,You are scrolled back up to the Title field
N.1.2.2.,Publisher with existing journal,,Title field is focussed (it is possible to type straight into the field without the need to click in it)
N.1.3.,Publisher with existing journal,"In ""Article Title"" textbox enter valid article title
 (any string of characters)",
N.1.4.,Publisher with existing journal,"Do not fill in any more data. Click ""Add Article"" button at the bottom of the page",
N.1.4.1.,Publisher with existing journal,,Red error: 'You must provide the Full-Text URL or the DOI' appears under the URL field and the DOI field
N.1.4.2.,Publisher with existing journal,,"Red error ""Please provide at least one author"" under Authors fields appears"
N.1.4.3.,Publisher with existing journal,,"Red error ""Either this field or Online ISSN is required"" under ""ISSN, Print"" appears"
N.1.4.4.,Publisher with existing journal,,"Red error ""Either this field or Print ISSN is required"" under ""ISSN, Online"" appears"
N.1.5.,Publisher with existing journal,"In Authors section click on orange ""Add more authors"" button",
N.1.5.1.,Publisher with existing journal,,One row for author is added
N.1.6.,Publisher with existing journal,"In Authors section click on one of the white ""Remove author"" button",
N.1.6.1.,Publisher with existing journal,,Row disappears
N.1.7.,Publisher with existing journal,Clear the form by clicking 'Enter article metadata' tab at the top to start again,
N.1.8.,Publisher with existing journal,Enter a title,
N.1.9.,Publisher with existing journal,Enter a malformed DOI,
N.1.10.,Publisher with existing journal,Click Add Article at the bottom,
N.1.10.1.,Publisher with existing journal,,"Red error message: Invalid DOI. A DOI can optionally start with a prefix (such as ""doi:""), followed by ""10."" and the remainder of the identifier"
N.1.11.,Publisher with existing journal,"Enter one or more author's name(s)  of the article eg ""Aga Domanska""",
N.1.12.,Publisher with existing journal,"Enter affiliations for the author separated by a semicolon, eg ""University of Oxford; Harvard University""",
N.1.13.,Publisher with existing journal,"Click ""Add Article"" button",
N.1.13.1.,Publisher with existing journal,,Error message under Authors disappears but others remain
N.1.14.,Publisher with existing journal,"Add author's ORCID iD in the wrong format eg ""0000-0000-0000-000a""",
N.1.15.,Publisher with existing journal,"Click ""Add Article"" button",
N.1.15.1.,Publisher with existing journal,,Red error message: 'Invalid ORCID iD. Please enter your ORCID iD structured as: https://orcid.org/0000-0000-0000-0000. URLs must start with https.'
N.1.16.,Publisher with existing journal,Enter valid Orcid iD for one of the authors,
N.1.17.,Publisher with existing journal,"Enter valid Full-Text URL, eg: https://pl.wikipedia.org/wiki/Torun",
N.1.18.,Publisher with existing journal,Select ISSN print and online version from dropdowns,
N.1.18.1.,Publisher with existing journal,,On dropdown lists your issns are available to choose
N.1.19.,Publisher with existing journal,Select 2 identical ISSNs,
N.1.20.,Publisher with existing journal,"Click ""Add Article"" button",
N.1.20.1.,Publisher with existing journal,,"The error: ""The Print and Online ISSNs supplied are identical. If you supply 2 ISSNs they must be different."" is shown below each ISSN field."
N.1.21.,Publisher with existing journal,Choose different Online ISSN,
N.1.22.,Publisher with existing journal,"Click ""Add Article"" button",
N.1.22.1.,Publisher with existing journal,,At the top of the page you see the confirmation message:  Article created/updated (Dismiss)
N.1.22.2.,Publisher with existing journal,,https://docs.google.com/spreadsheets/d/1KGv7DEwocDvdbT8giN9Aw2EWtZGzKympouEw_uR2q18/edit#gid=782367369
----------,----------,----------,----------
