----------,----------,----------,----------
## Y.1,----------,## Test Editors Application Search,----------
Y.1.1.,editor,Go to the DOAJ editor's group's application search at /editor/group_applications,
Y.1.1.1.,editor,,"All available records are found, and the first page of results is shown"
Y.1.2.,editor,Open and Collapse all the facets on the left,
Y.1.2.1.,editor,,The facet opens and closes as expected
Y.1.2.2.,editor,,Each facet contains a maximum of 10 values relevant to that field
Y.1.3.,editor,Open one of the facets of your choice,
Y.1.4.,editor,Select one of the values for that facet,
Y.1.4.1.,editor,,"All the results for the selected constraints are found, and the first page is shown"
Y.1.4.2.,editor,,The filter applied is shown in the facets on the left and above the search results
Y.1.5.,editor,"Go through each sort option in the ""sort by"" pull-down",
Y.1.6.,editor,"In each case, click the ""sort by"" button to reverse the direction of sort",
Y.1.6.1.,editor,,The current search results are ordered correctly according to the selected sort field and the selected sort direction
Y.1.7.,editor,Enter a search term in the search box,
Y.1.7.1.,editor,,"All the results for the selected constraints are found, and the first page is shown"
Y.1.7.2.,editor,,Your search text ramains in the search box
Y.1.8.,editor,"Go through each field constraint under the ""search all"" pull-down.  You may change your search text if no results are found, to demonstrate that each field works correctly",
Y.1.8.1.,editor,,"If there are search results, the first page is displayed"
Y.1.8.2.,editor,,"If there are no search results, suitable ""no results match"" text is displayed"
Y.1.9.,editor,"Change the page size, using the page-size pull-down",
Y.1.9.1.,editor,,The size of the page of results displays increases appropriately
Y.1.10.,editor,"Click the ""Next"" button to go to the next page of results",
Y.1.10.1.,editor,,The next page of results is displayed
Y.1.10.2.,editor,,"The ""First"" and ""Prev"" buttons are activated"
Y.1.11.,editor,"Click ""Next"" again",
Y.1.12.,editor,"Click ""Prev""",
Y.1.12.1.,editor,,You are navigated one page forward and then one page back in the results
Y.1.13.,editor,"Click ""First""",
Y.1.13.1.,editor,,You are taken to the first page of the results
Y.1.14.,editor,Click the black X button to clear all filters,
Y.1.14.1.,editor,,The interface returns to the initial state as per 1.1.1
Y.1.15.,editor,Choose either Accepted or Rejected value in Application Status facet on the left,
Y.1.15.1.,editor,,"All result applications have ""View finished application"" link at the bottom"
Y.1.16.,editor,"Click on ""View finished application"" link",
Y.1.16.1.,editor,,The link opens application details form in the new tab
Y.1.17.,editor,Close the tab,
Y.1.18.,editor,Click the black X button to clear all filters,
Y.1.19.,editor,Choose In Progress or pending value in Application Status facet on the left,
Y.1.19.1.,editor,,"All result applications have ""Review application"" link at the bottom"
Y.1.19.2.,editor,,The link opens application details form in the new tab
Y.1.20.,editor,"Click on ""Review application"" link",
Y.1.20.1.,editor,,editor/application/<id> page is opened in the new tab
----------,----------,----------,----------
