----------,----------,----------,----------
## S.1,----------,## Autoassign by Publisher Account,----------
,,Setup: Run the autoassign testdrive at /testdrive/autoassign if you have not already done so,
S.1.1.,"publisher, admin","Using the details under `map_by_account` in the testdrive setup, log in using the `publisher_username` and `publisher_password`

http://testdoaj.cottagelabs.com//account/login",
S.1.2.,"publisher, admin",Go to the Publisher's list of Update Requests,
S.1.2.1.,"publisher, admin",,"There is one update request in the list, and you have an Edit button available"
S.1.3.,"publisher, admin",Click on the Edit button for the update request,
S.1.4.,"publisher, admin","Make a minor change to the form data (e.g. change a URL or a title), then go to the final page of the form, select the confirmation checkbox, and click Submit.",
S.1.4.1.,"publisher, admin",,Your update request is saved and you return to the Publisher's list of Update Requests
S.1.5.,"publisher, admin",Log out of the Publisher account,
S.1.6.,"publisher, admin","Using the details under `map_by_account` in the testdrive setup, log in using the `maned_username` and `maned_password`",
S.1.6.1.,"publisher, admin",,You are taken to the Managing Editor's dashboard
S.1.6.2.,"publisher, admin",,"There is a card on the dashboard for an Update Request, with the title of the journal you just edited"
S.1.6.3.,"publisher, admin",,"The editor group for the card is identified as ""Account Mapping"" (along with some random characters)"
S.1.7.,"publisher, admin",Click on the Update Request card,
S.1.7.1.,"publisher, admin",,You are taken to the Update Request form for the journal you just edited
S.1.7.2.,"publisher, admin",,"The Group field is set to ""Account Mapping"" (along with some random characters)"
S.1.7.3.,"publisher, admin",,There is no Individual editor set
S.1.7.4.,"publisher, admin",,"There is a note with a recent timestamp indicating that this update request was autoassigned, and the reason for the assignment"
S.1.8.,"publisher, admin","Click ""Unlock & Close"" then close the tab",
S.1.9.,"publisher, admin",Log out of the Managing Editor account,
----------,----------,----------,----------
