----------,----------,----------,----------
## CH.1,----------,## Submitting an update,----------
CH.1.1.,Publisher,Go to the My journals tab on the Publisher dashboard,
CH.1.1.1.,Publisher,,"You see a list of journals, each with a button ""Update"""
CH.1.2.,Publisher,"Click the ""Update"" button next to one of your journals",
CH.1.2.1.,Publisher,,"a new browser tab opens, titled ""Journal update request form for ..."""
CH.1.3.,Publisher,"Attempt to edit the Journal title, Alternative title, ISSN (print), ISSN (online)",
CH.1.3.1.,Publisher,,You cannot
CH.1.4.,Publisher,Make some changes to the editable questions (make a note of what those changes are),
CH.1.5.,Publisher,Click on 'Review your answers' in the section stepper on the right and submit the form,
CH.1.5.1.,Publisher,,The form is submitted successfully and you are taken to the 'My update requests' tab
CH.1.5.2.,Publisher,,A flash message tells you that your update has been submitted. Another flash message says that a confirmation email has been sent.
CH.1.6.,Publisher,clear the flash messages,
CH.1.7.,Publisher,"Click on the ""My journals"" tab",
CH.1.7.1.,Publisher,,"The journal you submitted an update for now says ""View update"" by it"
CH.1.8.,Publisher,"Go back to the ""My Update Requests"" tab",
CH.1.8.1.,Publisher,,The journal for which you submitted an update is listed here
CH.1.9.,Publisher,"Click ""Edit"" on the update request you created above",
CH.1.9.1.,Publisher,,You can see the edit form for the update request
CH.1.9.2.,Publisher,,Your changes implemented above are present
CH.1.10.,Publisher,Make another change to the form and submit,
CH.1.10.1.,Publisher,,Your changes are submitted successfully.
CH.1.11.,Publisher,"Click ""Delete""",
CH.1.11.1.,Publisher,,A pop-up appears asking you if you are sure you want to delete the update request.
CH.1.12.,Publisher,click 'No',
CH.1.13.,Publisher,"Click 'Delete' and 'Yes, delete it'",
CH.1.13.1.,Publisher,,You are shown a message 'Your application has been deleted'
CH.1.14.,Publisher,Click the link to take you back to the dashboard and click on 'My update requests',
CH.1.14.1.,Publisher,,The update request no longer appears on this tab
CH.1.15.,Publisher,create a new update request for one of your journals and submit it,
CH.1.16.,Publisher,Open a new session in a different browser or a private (incognito) window,
CH.1.17.,Publisher,Log in as an administrator and go to the dashboard,
CH.1.18.,Publisher,Go to the Update Requests Search page,
CH.1.18.1.,Publisher,,The update request you submitted above is visible
CH.1.19.,Publisher,"Click ""Review Update""",
CH.1.19.1.,Publisher,,A new browser tab opens with the update request form
CH.1.19.2.,Publisher,,The top of the form contains a table showing the difference between the journal and the update request
CH.1.19.3.,Publisher,,The changes in the difference table match the changes you made when submitting the update request
CH.1.20.,Publisher,Click on one of the links in the left column of the difference table,
CH.1.20.1.,Publisher,,You are scrolled down to the corresponding change and the change is highlighted in black under the question
CH.1.21.,Publisher,"Go back to the top of the form and change the status to ""In Progress"" and save.  Do not make any other changes at this point",
CH.1.22.,Publisher,"Go back to the other browser window, where you are signed in as a publisher",
CH.1.23.,Publisher,Go to the Publisher's Update Requests tab,
CH.1.24.,Publisher,Go back to the browser window where you are logged in as admin,
CH.1.25.,Publisher,"Edit the update request, and change the status to ""Revisions Required""",
CH.1.25.1.,Publisher,,flash notification confirms that the publisher has been alerted
CH.1.26.,Publisher,"Go back to the other browser window, where you are signed in as a publisher",
CH.1.27.,Publisher,Go to the 'My update requests' tab. You may need to reload the page.,
CH.1.27.1.,Publisher,,Your update request is editable again and the black button now says 'Edit'
CH.1.28.,Publisher,Make an edit to the update request,
CH.1.29.,Publisher,Go back to the browser window where you are logged in as admin,
CH.1.30.,Publisher,"Edit the update request, and Reject it",
CH.1.31.,Publisher,"Go back to the My update requests tab in the other browser window, where you are signed in as a publisher",
CH.1.31.1.,Publisher,,The status of the update requests has changed to 'Application rejected'.
----------,----------,----------,----------
