Step Number,User/User Role,Action,Expected Test Results,Testers feedback on script
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,# User Management: Login and Registration,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,user_management/login_and_registration,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
----------,----------,----------,----------
## CD.1,----------,## Ensure Case Insensitive login,----------
CD.1.1.,anonymous,"Ensure a user exists with email ""test@test.com"" and password ""password123""",
CD.1.2.,anonymous,Go to login page at /account/login,
CD.1.3.,anonymous,"Provide email ""test@test.com"" and password ""password123""",
CD.1.3.1.,anonymous,,user correctly logged in
CD.1.4.,anonymous,Log out,
CD.1.5.,anonymous,Go to login page at /account/login,
CD.1.6.,anonymous,"Provide email ""TEST@test.com"" and password ""password123""",
CD.1.6.1.,anonymous,,user correctly logged in
----------,----------,----------,----------

----------,----------,----------,----------
## CD.2,----------,## Ensure Case Sensitive Registration,----------
CD.2.1.,anonymous,"Ensure a user exists with email ""test@test.com"" and password ""password123""",
CD.2.2.,anonymous,"Ensure a user with email ""TestUser@test.com"" does NOT exist",
CD.2.3.,anonymous,Ensure you're logged out,
CD.2.4.,anonymous,Go to registration page at /account/register,
CD.2.5.,anonymous,"Provide ""Test User"" as a Name and ""test@test.com"", check captcha and click ""Register"" button",
CD.2.5.1.,anonymous,,"The ""That email is already in use"" error is displayed"
CD.2.6.,anonymous,"Provide ""Test User"" as a Name and ""TEST@test.com"", check captcha and click ""Register"" button",
CD.2.6.1.,anonymous,,"The ""That email is already in use"" error is displayed"
CD.2.7.,anonymous,"Provide ""Test User"" as a Name and ""TestUser@test.com"", check captch and click ""Register"" button",
CD.2.7.1.,anonymous,,The User is registered and redirected to the homepage
CD.2.7.2.,anonymous,,A prompt to verify email address is displayed at the top
CD.2.8.,anonymous,"Verify the email, set password ""password123"" and user name to ""TestUser""",
CD.2.9.,anonymous,Log in with the new account,
CD.2.10.,anonymous,Go to your account setting at /account/testuser,
CD.2.10.1.,anonymous,,"Email address is displayed as ""TestUser@test.com"" (confirm correct casing)."
----------,----------,----------,----------

