Step Number,User/User Role,Action,Expected Test Results,Testers feedback on script
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,# Dashboard: Editorial Group Status,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,dashboard/editorial_group_status,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
----------,----------,----------,----------
## BA.1,----------,## Editorial Group Status for ManEds - Record Counts,----------
BA.1.1.,admin,To prepare to do this test set up at least 2 editorial groups with multiple members and a good selection of applications assigned to a number of associate editors.  You should set yourself as the managing editor of those groups,
BA.1.2.,admin,Go to your ManEd Dashboard page (/dashboard),
BA.1.3.,admin,"Scroll to the bottom of the dashbaord page, after your TODO list items",
BA.1.3.1.,admin,,The editorial groups you manage are listed under the heading Activity
BA.1.3.2.,admin,,The first group is already selected and the data shown
BA.1.4.,admin,Click on one of the other group names,
BA.1.4.1.,admin,,The editorial group's statistics are presented on the screen
BA.1.4.2.,admin,,You can see the total number of applications assigned to the group
BA.1.4.3.,admin,,You can see the number of applications assigned to each editor
BA.1.4.4.,admin,,You can see how many applications have not been assigned
BA.1.4.5.,admin,,You can see the breakdown of the statuses of all the applications
BA.1.5.,admin,Click on the application count next to the group's name (you may want to right click to keep the dashboard tab open during this test),
BA.1.5.1.,admin,,You are taken to the application search which shows the open applications assigned to this group.
BA.1.5.2.,admin,,The number of search results is the same as shown on the dashboard
BA.1.6.,admin,Go back to the dashboard page,
BA.1.7.,admin,"Click on one of the statuses in the colour legend under ""Open Applications"" header (you may want to right click to keep the dashboard tab open during this test)",
BA.1.7.1.,admin,,You are taken to the application search which shows the open applications in that status
BA.1.7.2.,admin,,The number of search results is the same as shown on the dashboard
BA.1.8.,admin,Go back to the dashboard page,
BA.1.9.,admin,Click on an editor's name,
BA.1.9.1.,admin,,A mail window opens in your mail client
BA.1.10.,admin,Click on the application count next to an editor's name,
BA.1.10.1.,admin,,You are taken to the application search which shows the open applications assigned to the user
BA.1.10.2.,admin,,The number of search results is the same as shown on the dashboard
BA.1.11.,admin,Go back to the dashboard page,
BA.1.12.,admin,"Click on the application count next to the ""unassigned"" label",
BA.1.12.1.,admin,,You are taken to the application search which shows the open applications with no assigned editor
BA.1.12.2.,admin,,The number of search results is the same as shown on the dashboard
BA.1.13.,admin,Go back to the dashboard page,
BA.1.14.,admin,"Click on one of the statuses under ""Applications By Status""",
BA.1.14.1.,admin,,You are taken to the application search which shows the open applications in that status
BA.1.14.2.,admin,,The number of search results is the same as shown on the dashboard
----------,----------,----------,----------

----------,----------,----------,----------
## BA.2,----------,## Editorial Group Status for ManEds - Updating Editors,----------
BA.2.1.,admin,To prepare to do this test set up at least 2 editorial groups with multiple members and a good selection of applications assigned to a number of associate editors.  You should set yourself as the managing editor of those groups,
BA.2.2.,admin,Go to your ManEd Dashboard page (/dashboard),
BA.2.3.,admin,Select an editorial group to see its status information,
BA.2.4.,admin,Take a note of the number of applications assigned to one of your editors,
BA.2.5.,admin,"Click on the count of applications next to the ""unassigned"" tag",
BA.2.6.,admin,"Click ""Review Application"" on the application in the search interface",
BA.2.7.,admin,Assign the application to the editor selected above,
BA.2.8.,admin,Go back to the dashboard page (you may need to refresh it if you kept the page open),
BA.2.8.1.,admin,,The editor selected now has one more application assigned to them
BA.2.8.2.,admin,,The number of unassigned applications has reduced by one
BA.2.9.,admin,Click on the count of applications next to the selected editor,
BA.2.9.1.,admin,,The application search is shown
BA.2.9.2.,admin,,The application you assigned to the editor is listed in the search
----------,----------,----------,----------

----------,----------,----------,----------
## BA.3,----------,## Editorial Group Status for ManEds - Changing Status,----------
BA.3.1.,admin,To prepare to do this test set up at least 2 editorial groups with multiple members and a good selection of applications assigned to a number of associate editors.  You should set yourself as the managing editor of those groups,
BA.3.2.,admin,Go to your ManEd Dashboard page (/dashboard),
BA.3.3.,admin,Select an editorial group to see its status information,
BA.3.4.,admin,Take a note of the number of applications assigned to a specific status (e.g. in progress),
BA.3.5.,admin,Click on the link to applications in that status,
BA.3.6.,admin,"Click ""Review Application"" on the application in the search interface",
BA.3.7.,admin,Change the status to something different,
BA.3.8.,admin,Go back to the dashboard page (you may need to refresh it if you kept the page open),
BA.3.8.1.,admin,,The status you selected now has one more application in that state
BA.3.8.2.,admin,,The previous status has one fewer application in that state
BA.3.9.,admin,Click on the new status link,
BA.3.9.1.,admin,,The application search is shown
BA.3.9.2.,admin,,The application you put into this status is visible
----------,----------,----------,----------

