Step Number,User/User Role,Action,Expected Test Results,Testers feedback on script
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,# New Application Form: ManEd Form,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,new_application_form/maned_form,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
----------,----------,----------,----------
## BD.1,----------,## Form Overview,----------
BD.1.1.,admin,Go to the admin Applications search at /admin/applications,
BD.1.2.,admin,"Select an application that is not in the ""Accepted"" or ""Rejected"" state, and click ""Review application""",
BD.1.2.1.,admin,,The managing editor view application form is displayed
BD.1.2.2.,admin,,"""Unlock and Close"" is available"
BD.1.2.3.,admin,,The Quick Reject feature is available
BD.1.2.4.,admin,,The ability to assign to an editor group and associate editor is available
BD.1.2.5.,admin,,"A ""SAVE"" button is available"
BD.1.2.6.,admin,,"Status, Re-assign publisher account, Continuation Information and Subject Classification sections are available"
BD.1.2.7.,admin,,Award the Seal is available
BD.1.2.8.,admin,,The main application form questions are available
BD.1.2.9.,admin,,The Notes section is available
BD.1.3.,admin,Assign an editor group,
BD.1.3.1.,admin,,"The ""Group"" pull-down asks you to type three characters."
BD.1.4.,admin,Choose any group,
BD.1.4.1.,admin,,The associate editors and editor are shown in the Individual dropdown
BD.1.5.,admin,"Select an editor from the ""Individual"" pull-down",
BD.1.5.1.,admin,,The editor is selected
BD.1.6.,admin,"Unset the Editor Group using the grey ""X"" in the ""Editor Group"" pull-down box",
BD.1.6.1.,admin,,The editor group and associate editor are removed
BD.1.7.,admin,Assign a new editor group and associate editor,
BD.1.8.,admin,Expand the tree and browse for values below the top level,
BD.1.8.1.,admin,,Assign two subject classifications.
BD.1.9.,admin,Start typing a subject in the subject search box,
BD.1.9.1.,admin,,Assign one subject that way
BD.1.10.,admin,Assign an owner to the application,
BD.1.11.,admin,Make a superficial modification to the application metadata,
BD.1.12.,admin,"Click ""Add new note"" and enter some text into the new note textarea",
BD.1.13.,admin,"Click ""SAVE""",
BD.1.13.1.,admin,,A message tells you that you cannot save the application because it contains some invalid fields
BD.1.13.2.,admin,,The form scrolls you down to a question which has a missing answer.
BD.1.14.,admin,Complete the question with the missing answer and 'Save',
BD.1.14.1.,admin,,A message at the top of the form tells you that you can only choose one or two subject classifications
BD.1.15.,admin,Remove one subject classification and 'Save',
BD.1.15.1.,admin,,The form saves
BD.1.15.2.,admin,,"The changes you applied, both to the form, and in the functionality box, have been saved"
BD.1.15.3.,admin,,The form saved without requiring answers to the ORCiD and I4OA questions.
BD.1.16.,admin,"Click ""Unlock and Close""",
BD.1.16.1.,admin,,"The page closes, and you are able to return to the search interface"
----------,----------,----------,----------

----------,----------,----------,----------
## BD.2,----------,## Note features for admin,----------
BD.2.1.,admin,"Prepare two admin accounts (admin1 and admin2), they both can access to the same Application (e.g. /admin/application/1234)",
BD.2.2.,admin,Login as `admin1`,
BD.2.3.,admin,Go to Application page at `/admin/application/1234`,
BD.2.4.,admin,"Click ""ADD"" button in ""Notes"" area",
BD.2.4.1.,admin,,New note UI is displayed for you to fill in
BD.2.5.,admin,Fill in the note,
BD.2.6.,admin,"Click ""Save"" button",
BD.2.6.1.,admin,,The note is saved and displayed in the list of notes
BD.2.6.2.,admin,,you username and user id will be showed on that note
BD.2.6.3.,admin,,the date and time you created the note will be shown
BD.2.7.,admin,Click into the note field and edit the note,
BD.2.7.1.,admin,,The note is editable
BD.2.8.,admin,"Click ""Remove"" underneath the note",
BD.2.8.1.,admin,,The note is deleted
BD.2.9.,admin,Create a new note as per the above steps,
BD.2.10.,admin,Switch to other associate editor account `admin2`,
BD.2.11.,admin,Go to Application page at `/editor/application/1234`,
BD.2.11.1.,admin,,You can see the note that you have created before with `admin1`
BD.2.12.,admin,Attempt to click into the note area and edit it,
BD.2.12.1.,admin,,you are unable to edit the note
BD.2.13.,admin,"Attempt to click the ""Remove"" button",
BD.2.13.1.,admin,,You are unable to delete the note
----------,----------,----------,----------

