----------,----------,----------,----------
## BF.2,----------,## Note features for Associate Editor,----------
BF.2.1.,associate editor,"Prepare two associate editor accounts (aseditor1 and aseditor2), they both can access to the same journal (e.g. /editor/journal/1234)",
BF.2.2.,associate editor,Login as `aseditor1`,
BF.2.3.,associate editor,Go to Journal page at `/editor/journal/1234`,
BF.2.4.,associate editor,"Click ""ADD"" button in ""Notes"" area",
BF.2.4.1.,associate editor,,New note UI is displayed for you to fill in
BF.2.5.,associate editor,Fill in the note,
BF.2.6.,associate editor,"Click ""Save"" button",
BF.2.6.1.,associate editor,,The note is saved and displayed in the list of notes
BF.2.6.2.,associate editor,,you username and user id will be showed on that note
BF.2.6.3.,associate editor,,the date and time you created the note will be shown
BF.2.7.,associate editor,Click into the note field and edit the note,
BF.2.7.1.,associate editor,,The note is editable
BF.2.8.,associate editor,"Click ""Remove"" underneath the note",
BF.2.8.1.,associate editor,,The note is deleted
BF.2.9.,associate editor,Create a new note as per the above steps,
BF.2.10.,associate editor,Switch to other associate editor account `aseditor2`,
BF.2.11.,associate editor,Go to Journal page at `/editor/journal/1234`,
BF.2.11.1.,associate editor,,You can see the note that you have created before with `aseditor1`
BF.2.12.,associate editor,Attempt to click into the note area and edit it,
BF.2.12.1.,associate editor,,you are unable to edit the note
BF.2.13.,associate editor,"Attempt to click the ""Remove"" button",
BF.2.13.1.,associate editor,,You are unable to delete the note
BF.2.14.,associate editor,"Click ""copy"" button next to one of the fields (eg. Title)",
BF.2.14.1.,associate editor,,Confirmation with fields value is displayed for 3 seconds
BF.2.15.,associate editor,Attempt to paste the value (use separate editor),
BF.2.15.1.,associate editor,,Correct value is pasted
----------,----------,----------,----------
