----------,----------,----------,----------
## BQ.1,----------,## Form Overview,----------
BQ.1.1.,admin,Go to the admin Applications search at /admin/applications,
BQ.1.2.,admin,"Select an application that is not in the ""Accepted"" or ""Rejected"" state, and click ""Review application""",
BQ.1.2.1.,admin,,The managing editor view application form is displayed
BQ.1.2.2.,admin,,"""Unlock and Close"" is available"
BQ.1.2.3.,admin,,The Quick Reject feature is available
BQ.1.2.4.,admin,,The ability to assign to an editor group and associate editor is available
BQ.1.2.5.,admin,,"A ""SAVE"" button is available"
BQ.1.2.6.,admin,,"Status, Re-assign publisher account, Continuation Information and Subject Classification sections are available"
BQ.1.2.7.,admin,,"The Journal Labels section is available, offering one option for ""Subscribe to Open"""
BQ.1.2.8.,admin,,The main application form questions are available
BQ.1.2.9.,admin,,The Notes section is available
BQ.1.3.,admin,Assign an editor group,
BQ.1.3.1.,admin,,"The ""Group"" pull-down asks you to type three characters."
BQ.1.4.,admin,Choose any group,
BQ.1.4.1.,admin,,The associate editors and editor are shown in the Individual dropdown
BQ.1.5.,admin,"Select an editor from the ""Individual"" pull-down",
BQ.1.5.1.,admin,,The editor is selected
BQ.1.6.,admin,Open the Subject Classifier and assign two subject classifications,
BQ.1.7.,admin,Click Add subjects,
BQ.1.7.1.,admin,,The two subjects you selected show as 'Selected'
BQ.1.8.,admin,Open the subject classifier again and start typing a subject in the subject search box (eg Biology),
BQ.1.8.1.,admin,,All terms that include your subject are shown and can be selected
BQ.1.9.,admin,Assign one subject that way and then assign an owner to the application,
BQ.1.10.,admin,Make a superficial modification to the application metadata,
BQ.1.11.,admin,"Click ""Add new note"" and enter some text into the new note textarea",
BQ.1.12.,admin,"Click ""SAVE""",
BQ.1.12.1.,admin,,A message tells you that you cannot save the application because it contains some invalid fields
BQ.1.12.2.,admin,,The form scrolls you down to a question which has a missing answer.
BQ.1.13.,admin,Complete the question with the missing answer and 'Save',
BQ.1.13.1.,admin,,A message at the top of the form tells you that you can only choose one or two subject classifications
BQ.1.14.,admin,Remove one subject classification,
BQ.1.15.,admin,"Click ""Unlock & Close""",
BQ.1.15.1.,admin,,C
BQ.1.15.2.,admin,,o
BQ.1.15.3.,admin,,n
BQ.1.15.4.,admin,,f
BQ.1.15.5.,admin,,i
BQ.1.15.6.,admin,,r
BQ.1.15.7.,admin,,m
BQ.1.15.8.,admin,,a
BQ.1.15.9.,admin,,t
BQ.1.15.10.,admin,,i
BQ.1.15.11.,admin,,o
BQ.1.15.12.,admin,,n
BQ.1.15.13.,admin,, 
BQ.1.15.14.,admin,,d
BQ.1.15.15.,admin,,i
BQ.1.15.16.,admin,,a
BQ.1.15.17.,admin,,l
BQ.1.15.18.,admin,,o
BQ.1.15.19.,admin,,g
BQ.1.15.20.,admin,, 
BQ.1.15.21.,admin,,i
BQ.1.15.22.,admin,,s
BQ.1.15.23.,admin,, 
BQ.1.15.24.,admin,,d
BQ.1.15.25.,admin,,i
BQ.1.15.26.,admin,,s
BQ.1.15.27.,admin,,p
BQ.1.15.28.,admin,,l
BQ.1.15.29.,admin,,a
BQ.1.15.30.,admin,,y
BQ.1.15.31.,admin,,e
BQ.1.15.32.,admin,,d
BQ.1.15.33.,admin,, 
BQ.1.15.34.,admin,,w
BQ.1.15.35.,admin,,a
BQ.1.15.36.,admin,,r
BQ.1.15.37.,admin,,n
BQ.1.15.38.,admin,,i
BQ.1.15.39.,admin,,n
BQ.1.15.40.,admin,,g
BQ.1.15.41.,admin,, 
BQ.1.15.42.,admin,,y
BQ.1.15.43.,admin,,o
BQ.1.15.44.,admin,,u
BQ.1.15.45.,admin,, 
BQ.1.15.46.,admin,,a
BQ.1.15.47.,admin,,b
BQ.1.15.48.,admin,,o
BQ.1.15.49.,admin,,u
BQ.1.15.50.,admin,,t
BQ.1.15.51.,admin,, 
BQ.1.15.52.,admin,,u
BQ.1.15.53.,admin,,n
BQ.1.15.54.,admin,,s
BQ.1.15.55.,admin,,a
BQ.1.15.56.,admin,,v
BQ.1.15.57.,admin,,e
BQ.1.15.58.,admin,,d
BQ.1.15.59.,admin,, 
BQ.1.15.60.,admin,,c
BQ.1.15.61.,admin,,h
BQ.1.15.62.,admin,,a
BQ.1.15.63.,admin,,n
BQ.1.15.64.,admin,,g
BQ.1.15.65.,admin,,e
BQ.1.15.66.,admin,,s
BQ.1.16.,admin,"Click ""Stay on Page"" and then 'Save'",
BQ.1.16.1.,admin,,The form saves
BQ.1.16.2.,admin,,"The changes you applied, both to the form, and in the functionality box, have been saved"
BQ.1.17.,admin,"Click ""Unlock and Close""",
BQ.1.17.1.,admin,,"The page closes, and you are able to return to the search interface"
----------,----------,----------,----------
