----------,----------,----------,----------
## BO.1,----------,## Form Overview,----------
BO.1.1.,admin,Go to the admin Applications search at /admin/applications,
BO.1.2.,admin,"Select an application that is not in the ""Accepted"" or ""Rejected"" state, and click ""Review application""",
BO.1.2.1.,admin,,The managing editor view application form is displayed
BO.1.2.2.,admin,,"""Unlock and Close"" is available"
BO.1.2.3.,admin,,The Quick Reject feature is available
BO.1.2.4.,admin,,The ability to assign to an editor group and associate editor is available
BO.1.2.5.,admin,,"A ""SAVE"" button is available"
BO.1.2.6.,admin,,"Status, Re-assign publisher account, Continuation Information and Subject Classification sections are available"
BO.1.2.7.,admin,,"The Journal Labels section is available, offering one option for ""Subscribe to Open"""
BO.1.2.8.,admin,,The main application form questions are available
BO.1.2.9.,admin,,The Notes section is available
BO.1.3.,admin,Assign an editor group,
BO.1.3.1.,admin,,"The ""Group"" pull-down asks you to type three characters."
BO.1.4.,admin,Choose any group,
BO.1.4.1.,admin,,The associate editors and editor are shown in the Individual dropdown
BO.1.5.,admin,"Select an editor from the ""Individual"" pull-down",
BO.1.5.1.,admin,,The editor is selected
BO.1.6.,admin,Open the Subject Classifier and assign two subject classifications,
BO.1.7.,admin,Click Add subjects,
BO.1.7.1.,admin,,The two subjects you selected show as 'Selected'
BO.1.8.,admin,Open the subject classifier again and start typing a subject in the subject search box (eg Biology),
BO.1.8.1.,admin,,All terms that include your subject are shown and can be selected
BO.1.9.,admin,Assign one subject that way and then assign an owner to the application,
BO.1.10.,admin,Make a superficial modification to the application metadata,
BO.1.11.,admin,"Click ""Add new note"" and enter some text into the new note textarea",
BO.1.12.,admin,"Click ""SAVE""",
BO.1.12.1.,admin,,A message tells you that you cannot save the application because it contains some invalid fields
BO.1.12.2.,admin,,The form scrolls you down to a question which has a missing answer.
BO.1.13.,admin,Complete the question with the missing answer and 'Save',
BO.1.13.1.,admin,,A message at the top of the form tells you that you can only choose one or two subject classifications
BO.1.14.,admin,Remove one subject classification,
BO.1.15.,admin,"Click ""Unlock & Close""",
BO.1.15.1.,admin,,Confirmation dialog is displayed warning you about unsaved changes
BO.1.16.,admin,"Click ""Stay on Page"" and then 'Save'",
BO.1.16.1.,admin,,The form saves
BO.1.16.2.,admin,,"The changes you applied, both to the form, and in the functionality box, have been saved"
BO.1.17.,admin,"Click ""Unlock and Close""",
BO.1.17.1.,admin,,"The page closes, and you are able to return to the search interface"
----------,----------,----------,----------
